"Temperature (degF)","Electrical Resistivity"
-58,0.923076868057251
68,0.999996602535248
212,1.14999210834503
302,1.20000398159027
392,1.24000549316406
482,1.28000688552856
572,1.31200003623962
800,1.39800918102264
